site,transect,spcode,start,stop
BAILEY,D1,HOLDIS,8.4,8.5
BAILEY,D1,ABICON,16.1,16.4
BAILEY,D1,ABICON,19.4,21
BAILEY,D1,QUEGAM,23.7,26.65
BAILEY,D1,toothy shrub,24.1,24.15
BAILEY,D1,ABICON,24.1,24.25
BAILEY,D1,QUEGAM,23.9,24
BAILEY,D1,ACEGLA,28.6,32.6
BAILEY,D1,toothy shrub,35.85,36
BAILEY,D1,ABICON,39.5,41.1
BAILEY,D1,ABICON,45.2,50
BAILEY,D1,(toothy shrub),47.7,47.9
BAILEY,D1,(toothy shrub),48.75,48.8
BAILEY,D2,ABICON,2.6,4.3
BAILEY,D2,QUEGAM,3.9,6.65
BAILEY,D2,ACEGLA,3.3,6.85
BAILEY,D2,ROBNEO,9.1,9.5
BAILEY,D2,QUEGAM,7.65,11.6
BAILEY,D2,HOLDIS,12.65,13.9
BAILEY,D2,QUEGAM,13.9,20.5
BAILEY,D2,ABICON,15.05,15.5
BAILEY,D2,ABICON,15.8,16.7
BAILEY,D2,HOLDIS,17.35,17.95
BAILEY,D2,HOLDIS,20.4,20.5
BAILEY,D2,ABICON,20.3,24.2
BAILEY,D2,HOLDIS,21.2,21.5
BAILEY,D2,QUEGAM,23.4,26.5
BAILEY,D2,HOLDIS,25.65,28.3
BAILEY,D2,ROBNEO,28.2,29
BAILEY,D2,ROBNEO,29.6,30.3
BAILEY,D2,PRUSER,31.4,31.7
BAILEY,D2,PRUSER,33.5,33.8
BAILEY,D2,QUEGAM,31.6,32.9
BAILEY,D2,POPTRE,31.8,36.1
BAILEY,D2,PRUSER,34.9,35.35
BAILEY,D2,ABICON,35.9,41.7
BAILEY,D2,PRUSER,26.8,37.1
BAILEY,D2,PRUSER,38,38.8
BAILEY,D2,HOLDIS,41.2,42.5
BAILEY,D2,PRUSER,42.3,42.5
BAILEY,D2,ROBNEO,42.7,44.3
BAILEY,D2,PSEMEN,44.2,46.5
BAILEY,D2,ABICON,45.65,46.4
BAILEY,D2,HOLDIS,46.65,48.6
BAILEY,D2,QUEGAM,49.3,50
Sleepy,D1,ABICON,0,0.5
Sleepy,D1,PSEMEN,4.7,11.25
Sleepy,D1,PSEMEN,15.4,16.5
Sleepy,D1,ROBNEO,16.75,27.25
Sleepy,D1,ABICON,38.8,39.2
Sleepy,D2,PSEMEN,6.2,7
Sleepy,D2,HOLDIS,11.35,11.75
Sleepy,D2,PSEMEN,10.3,13.9
Sleepy,D2,PSEMEN,20,27.05
Sleepy,D2,QUEGAM,28.95,29.25
Sleepy,D2,QUEGAM,30.4,30.45
Sleepy,D2,ABICON,31.9,33.3
Sleepy,D2,PSEMEN,34,40.1
Sleepy,D2,QUEGAM,43.85,43.9
Sleepy,D2,QUEGAM,47.75,47.8
Sleepy,D3,QUEGAM,0.95,1.15
Sleepy,D3,QUEGAM,2.25,2.5
Sleepy,D3,HOLDIS,4.45,4.85
Sleepy,D3,PSEMEN,10.5,15.65
Sleepy,D3,HOLDIS,19.95,20.2
Sleepy,D3,ABICON,22.5,22.7
Sleepy,D3,ROBNEO,24.65,24.8
Sleepy,D3,ABICON,26.9,27.2
Sleepy,D3,HOLDIS,29.8,30.3
Sleepy,D3,HOLDIS,40.2,40.6
